square_feet,num_bedrooms,lot_size,year_built,price
1538.4259414793842,2,4737.48606581539,1975,539844.9706599354
2266.8638549582497,0,3741.4732126144227,1969,639527.361932728
2595.227812904989,2,6173.714187600541,1960,817126.1195935761
1244.3921617844073,2,8186.373253278794,1960,642339.6383755743
1776.5200429261793,2,6550.3109880695665,1984,704678.9507896231
1471.1906014832073,4,9806.831170476551,1984,807874.8323720815
2705.8383377892105,3,2739.5925506521526,2010,727074.308983506
1846.3613775584297,5,5450.528234495099,1954,641841.1293846639
1333.5697978087444,2,5634.906522500351,1978,605753.7883450943
2626.217902672154,2,3623.699309644552,1999,746133.817056093
2104.1831152965715,3,9123.007153272796,2000,912992.4705631024
784.6124489409759,1,4919.684098711313,1982,419186.2929384453
2190.0456770737255,3,7953.080699451792,1967,850416.6093935181
1086.5598229800698,3,3244.034826486878,1975,400094.31392969337
288.06033668552163,4,4095.3873615018465,1948,282664.76941306517
818.4129977035948,2,9048.619246573704,1983,654263.7160703503
1671.1689172448107,4,4329.724437657096,2011,611109.9823796065
1517.0762087440123,1,3648.5838416767765,1958,462328.0690197477
1905.404136579891,0,4731.382517058904,1995,627148.9192258905
2423.3536628680167,2,6363.782979252623,1991,787821.4582415227
1789.6457498005443,1,4969.380301654009,1982,588094.3437988383
2528.7477348558496,1,6238.308522010396,1980,855002.4584205803
1919.2453872258209,2,4987.858176920214,1981,687141.3405612004
998.9062721092637,2,5081.838350791442,1994,482892.4511702973
1412.822871048582,2,4952.895698251524,1984,565740.498383408
1137.1280934232673,1,6035.318040938246,1983,548416.5238224365
1387.1118497567322,0,7931.297537843107,1981,736564.8630126065
1606.6468536864693,1,1212.7706660924287,1980,414359.40227060684
717.5986143189724,2,5699.300094599387,1981,446926.37576414854
1814.17275463214,1,6248.23963410431,1979,665135.7238196351
3937.766915067291,0,813.9764386432826,1959,775123.2785404709
1756.633716556678,4,3940.4795924659225,1981,593419.9956519762
1188.6502400897032,2,5561.983735470065,1975,515702.21988575783
1501.8478359239236,5,8925.17438106159,2000,788183.2120459108
1038.7949077507487,2,4216.483701912356,2012,457651.70896091696
1069.3578993358683,3,5154.736615295236,2010,509977.4505596476
809.4776984231125,4,3428.027934730035,1986,413039.7691225756
874.4432118073486,2,5652.266044484236,1998,513134.73972467054
1295.9623134892242,1,7402.427844327889,1939,598154.402087907
1224.4071418357332,2,6556.7221523332755,1963,605316.418761611
1390.977052303813,2,8618.61269946622,1963,713673.411587026
1639.497081111901,6,3653.018751512263,1963,536324.6697714281
2479.173727110297,3,7201.919269997143,1955,891393.1904673097
512.2667168230644,2,5128.948829620241,1961,370678.9857193181
1597.3680973593873,2,6311.801553059522,1979,633318.7740383244
1570.1799349240234,1,7401.063316947745,1940,650282.3792705197
1270.55786856553,2,8367.855382915737,2001,695991.9777911977
1576.862552972764,1,3232.285127597734,1981,460330.77235515276
1926.707779390154,3,6189.508683330572,1995,758340.5409951921
1379.3711726907288,5,5819.637313857025,1993,668044.4330403996
2170.2252230115723,3,5638.349020838361,1942,679991.1441678497
1610.2707135069334,2,2790.27441387496,2004,516827.2481289461
1568.2676655413686,3,9026.774495053247,1972,773979.4064784994
1806.2343970068011,2,6513.577359973964,1959,676183.2397247645
2457.015676933393,3,3752.4620786083897,1976,693178.3608323208
1354.1531251033616,5,3798.72262016239,1967,480486.9406351955
1264.4376740910607,4,7165.382107774147,1978,650127.072765816
1022.2297796997871,3,4744.164817038467,1947,422035.19446366
1892.302143949012,2,9825.230843225832,1979,894131.1074666908
2060.5153336622357,2,3355.160135235599,1980,598856.3113052445
2846.516831990248,1,5367.669032645009,1986,848907.8570929719
1733.1791872231672,2,4531.960281786038,1999,594082.5782931034
937.2554763508117,3,5559.93725263964,2028,531912.5312907777
4128.722046672743,3,17728.628241751314,1978,1755283.6459386295
1666.831052643474,2,5957.959651492783,2000,681282.5368558215
5246.614633637091,3,27300.70759191402,1993,2437807.201427148
2006.2620179464886,4,38043.40242878153,2000,2365409.1711369585
3209.4224838307473,5,5921.92442122609,1971,994008.4602948898
843.8904032842969,4,7163.533455345658,1992,545566.6478017148
1720.9703247847046,5,5337.309343933455,1958,649926.7360012124
1607.6982527281439,8,6536.414433263475,1990,725107.8970298856
2082.3696772285857,1,1769.736368188981,1965,511372.7272270294
1592.418061847437,4,5986.635801761779,1962,624550.219326726
1621.8436057459562,2,3355.5592088671374,1984,480049.0395792578
1232.382394219716,3,7099.10543063867,2006,624880.9016182134
