study_hours,attendance_rate,previous_grade,homework_completion,class_participation,final_grade
21.70865438127942,54.77721866841431,77.43264094022715,49.347474110150614,74.6170265333809,100.0
26.29628841923612,79.60949281314915,78.1286211883896,88.49399813149876,59.60635607109019,100.0
30.31844539468635,96.704668265306,71.96554776511574,68.40403412588738,67.19692533757961,100.0
19.34249738927012,80.65817812596781,85.65524029234341,66.61617229092617,47.15219642824338,100.0
11.695555934434347,76.27977213847537,61.91734278359074,89.68287076172693,96.08349495696368,98.03722639334609
11.72769056447677,70.67012041619793,73.22718560338089,74.72230296011415,54.96205953043287,94.49531812852148
38.54092566334188,84.46217526832166,59.758131756707954,97.70174614863197,68.17378737425075,100.0
2.4126051357688567,85.29077189997659,80.58424486849587,60.52614809129843,90.52947336298523,93.30016128001806
22.96984673233186,55.193150803735854,75.21941565616898,56.44573933682877,81.72734307665965,100.0
14.556172754748173,76.01292307031886,55.75251813786544,71.61335549270197,91.98473153382331,90.63073334913533
26.20672097550678,71.28722046672743,69.25566570899954,64.09294236262697,46.446629201643155,100.0
1.5289059295248286,82.61986990368815,58.966333938261265,47.456919403450556,50.03150569663333,66.78101285346929
28.539759765522238,80.13506751734432,85.54160420714774,69.97293328242823,62.03543653282053,100.0
23.350580290841176,70.05828320479363,77.31870704288295,70.46931750765204,80.18714163157293,100.0
4.433708264760963,64.4348446418586,55.91538703636441,90.73513838755333,62.15915469221441,81.64016201679347
11.690498835889622,62.04013845480276,70.48521627944827,66.11409113641696,62.69311924352956,94.347150891076
31.49273326285676,100.0,69.03940100275351,76.83014721968043,61.36543260643339,100.0
13.481638921978409,74.00880302029024,57.889838002375434,50.0771990659656,79.57888688166061,84.90175507980584
11.439161740911327,62.25233445802812,78.30335816544246,68.10958650689633,73.72330879450504,89.9489384689328
17.491669835449528,97.5200047793323,66.77320161157864,53.67283999887235,58.64807367145809,100.0
29.755451271223592,70.36181436223178,73.31263431403563,62.41173715166042,83.96920178674299,100.0
25.92526949201183,93.12549345889714,80.24062525811462,100.0,100.0,100.0
4.070062664683308,65.9794853407318,73.19781934142537,54.989617576226934,71.5806325921894,81.95842788573191
30.309995224959508,64.84616999541062,76.11676288840867,69.22376579375525,74.86125954092192,100.0
12.871542173228356,74.50870094676003,64.56575228866235,66.79711588139412,61.39506989679646,90.51515254405783
26.256309336460006,56.51215027847236,75.52299937679523,87.72261319000002,49.49293290309632,100.0
20.327969954115865,80.15681822324828,69.5134764842955,60.642736276574354,55.54361610684084,100.0
13.50626961678574,86.16287957249905,68.18775826781896,65.28687291547261,64.62489771968167,100.0
23.338599665685347,74.41039068558553,68.65503215598267,71.33879289488698,54.74975307135254,100.0
23.829889847409284,95.82506667312671,66.14978188287137,67.10628215223868,62.50404735772554,100.0
21.686546719667277,71.62716027287883,63.4999741917654,76.15277824438152,68.03114549361543,100.0
20.29756139495745,85.22251046058936,70.28318376130461,74.40667269215018,85.79729279999356,100.0
5.692248978819519,100.0,69.59842049355656,64.85411546911095,91.6017582317421,94.19957480178243
17.76537214674149,58.93661252908332,74.82472415243186,62.14263665375576,79.3850102164751,100.0
11.917017146448485,77.75013008607527,91.89802933217672,88.08480955081018,58.489786556679256,100.0
24.74698232879953,74.86321505033695,80.85895565831578,75.42271736053692,56.52298027313444,100.0
39.87061111699441,83.44321290261533,61.20185646497946,100.0,88.46311769732102,100.0
37.359638031652494,100.0,63.10812181910432,77.963994070386,89.76091098451488,100.0
