monthly_charges,total_charges,tenure_months,contract_type,num_services,customer_age,churned
228.6626098090998,7197.493789444235,84,1,5,50,1
77.30545316292778,1268.9200772014713,21,0,5,59,0
53.63252625299,1404.9378280117028,8,1,6,28,0
9.327966581173783,1589.552705273249,12,2,4,11,0
38.50492594820759,247.35992635162728,0,1,6,80,0
102.49375072672427,992.2076533425038,12,1,1,17,0
31.632193039190653,2806.6864857685136,2,1,3,29,0
59.76917133781048,1398.5658457835611,13,2,4,72,1
74.09015738759268,1714.638092376037,24,1,2,27,0
141.35526954467005,2171.6837215722744,86,1,8,6,0
33.31152449986994,3086.231787105047,56,0,1,45,0
112.5071843313484,657.9175152246157,31,2,5,75,0
165.7169264888019,7402.093050708828,2,1,3,22,1
179.81036185934843,1383.4601678399365,34,2,1,10,0
204.14686932685106,3404.65928406662,52,1,5,10,0
30.130909672509418,1801.0729779846051,25,1,1,4,0
51.511206585166725,203.68710524737276,4,1,5,66,0
84.49818132886912,2730.3150795638753,17,0,3,5,0
102.50522065816557,7064.249647852305,56,0,5,48,0
44.836835979382926,2014.1869487482693,1,0,3,71,1
25.57462677083152,2609.8792242309664,22,2,3,41,0
72.15501229263808,1777.6363196824304,26,2,1,44,0
172.64659442056228,614.0283428331323,4,0,0,14,1
78.97464226675311,1369.1753828616263,80,2,8,7,0
113.47950370749547,4852.973418940355,138,1,7,69,1
44.1981510644561,1001.5865522402346,84,1,8,2,0
22.91055677035216,2836.8432271817273,19,1,3,26,0
68.44846506386065,1513.5909179952146,15,0,8,73,0
119.77713244615822,1041.170461802634,30,2,2,46,0
160.15399946014637,4572.830535585443,103,0,3,50,1
36.649504134837905,3282.672570502112,43,2,3,57,1
281.7388285495979,5854.584899109268,64,1,3,0,1
73.19991184536543,2517.719478992571,28,0,4,54,0
225.7186505682567,2438.888063061249,100,2,3,47,0
102.43412144283036,5678.784418799412,19,2,6,15,1
120.49728257657519,4423.257908413033,46,1,4,28,0
99.46048840615808,1414.398163214623,84,0,4,25,0
185.25253947578565,2514.521293563404,2,0,2,24,0
19.286200471655917,2311.321557810314,2,0,2,14,0
129.3537820672076,3291.0936674079244,62,1,8,28,1
73.86072042974587,4544.892803045141,41,0,8,87,0
